ég væri til í að finna flug frá charlotte til las vegas sem stoppar í st. louis	O O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O B-stoploc.city_name I-stoploc.city_name	atis_flight
ég þarf miða þann fyrsta apríl frá tacoma til san jose sem leggur af stað fyrir klukkan 7 um morguninn	O O O O B-depart_date.day_number B-depart_date.month_name O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O O B-depart_time.time_relative B-depart_time.time I-depart_time.time B-depart_time.period_of_day I-depart_time.period_of_day	atis_airfare
fyrsta apríl þarf ég flug sem fer frá phoenix til san diego	B-depart_date.day_number B-depart_date.month_name O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name	atis_flight
ég væri til í flug aðra leiðina frá phoenix til san diego fyrsta apríl	O O O O O B-round_trip I-round_trip O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name B-depart_date.day_number B-depart_date.month_name	atis_flight
ég væri til í flug frá orlando til salt lake city fyrsta apríl með delta airlines	O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name B-depart_date.day_number B-depart_date.month_name O B-airline_name I-airline_name	atis_flight
ég þarf á flugi að halda frá toronto til newark aðra leiðina sem fer út á miðvikudagskvöldið eða fimmtudagsmorguninn	O O O O O O O B-fromloc.city_name O B-toloc.city_name B-round_trip I-round_trip O O O O B-depart_time.period_of_day O B-depart_time.period_of_day	atis_flight
ég væri til í að fljúga mánudagsmorgunninn frá columbus til indianapolis	O O O O O O B-depart_time.period_of_day O B-fromloc.city_name O B-toloc.city_name	atis_flight
miðvikudaginn sjötta apríl væri ég til í að fljúga frá long beach til columbus seinni partinn eftir klukkan 3	B-depart_date.day_name B-depart_date.day_number B-depart_date.month_name O O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name B-depart_time.period_of_day I-depart_time.period_of_day B-depart_time.time_relative B-depart_time.time I-depart_time.time	atis_flight
eftir klukkan 12 á miðvikudaginn sjötta apríl væri ég til í að fljúga frá long beach til columbus	B-depart_time.time_relative B-depart_time.time I-depart_time.time O B-depart_date.day_name B-depart_date.day_number B-depart_date.month_name O O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name	atis_flight
eru einhver flug frá long beach til columbus á miðvikudaginn sjötta apríl	O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name B-depart_date.day_number B-depart_date.month_name	atis_flight
finndu fyrir mig flug frá memphis til tacoma með máltíð um borð	O O O O O B-fromloc.city_name O B-toloc.city_name O B-meal_description O O	atis_flight
